ApplNo	ApplType	ApplPublicNotes	SponsorName
016844	NDA		AAIPHARMA LLC
016847	NDA		GE HEALTHCARE
016848	NDA		PHARMOBEDIENT
016851	NDA		ABBVIE
016860	NDA		NOVEN THERAP
016861	NDA		AAIPHARMA LLC
016862	NDA		XANODYNE PHARM
016863	NDA		AAIPHARMA LLC
016885	NDA		ESTEVE
016891	NDA		SANOFI AVENTIS US
016904	NDA		PFIZER
016908	NDA		ALVOGEN
016909	NDA		ALVOGEN
016912	NDA		ROCHE
016913	NDA		SHIRE
016921	NDA		VALEANT INTL
016923	NDA		BRACCO
016927	NDA		GD SEARLE LLC
016929	NDA		HOSPIRA
016931	NDA		PHARMACIA AND UPJOHN
016932	NDA		SCHERING
016936	NDA		GD SEARLE LLC
016942	NDA		WESTWOOD SQUIBB
016943	NDA		WESTWOOD SQUIBB
016949	NDA		CHARTWELL RX
016954	NDA		JANSSEN PHARMS
016964	NDA		HOSPIRA
016968	NDA		ALCON
016979	NDA		BRISTOL MYERS SQUIBB
016980	NDA		SOLVAY
016983	NDA		LIEBEL-FLARSHEIM
016987	NDA		NEW RIVER
016988	NDA		CHARTWELL RX
016996	NDA		SCHERING
016997	NDA		NOVARTIS
016998	NDA		PARKE DAVIS
017001	NDA		BAUSCH
017007	NDA		HIKMA
017010	NDA		PADAGIS US
017011	NDA		ABBVIE
017013	NDA		ABBOTT
017015	NDA		ORGANON USA INC
017016	BLA		FERRING
017020	NDA		ABBOTT
017029	NDA		FRESENIUS KABI USA
017031	NDA		LABORATOIRE HRA
017036	NDA		BAXTER HLTHCARE
017037	NDA		HIKMA
017038	NDA		B BRAUN
017042	NDA		GE HEALTHCARE
017045	NDA		BRACCO
017047	NDA		BRACCO
017048	NDA		WYETH AYERST
017054	BLA		BEL MAR
017055	BLA		FERRING
017057	NDA		LIEBEL-FLARSHEIM
017058	NDA		HIKMA
017059	NDA		MALLINCKRODT
017060	NDA		TEVA BRANDED PHARM
017063	NDA		ALCON
017064	NDA		DR REDDYS
017067	BLA		FRESENIUS KABI USA
017078	NDA		IMPAX LABS INC
017084	NDA		CURIUM
017087	NDA		BAXTER HLTHCARE
017090	NDA		SPECGX LLC
017098	NDA		MALLINCKRODT
017100	NDA		ABBVIE
017105	NDA		AJENAT PHARMS
017106	NDA		MMT
017108	NDA		SANDOZ
017109	NDA		ROXANE
017111	NDA		CHARTWELL RX
017116	NDA		SPECGX LLC
017118	NDA		ENDO PHARMS
017122	NDA		XANODYNE PHARM
017129	NDA		MALLINCKRODT
017243	NDA		CURIUM
017247	NDA		NOVARTIS
017255	NDA		GE HEALTHCARE
017256	NDA		GE HEALTHCARE
017257	NDA		GE HEALTHCARE
017264	NDA		GE HEALTHCARE
017269	NDA		BRACCO
017279	NDA		ISOTEX
017283	NDA		LANTHEUS MEDCL
017284	NDA		SHINE
017315	NDA		SUN PHARM INDS INC
017316	NDA		CIS
017321	NDA		SUN PHARM INDS INC
017339	NDA		BRACCO
017340	NDA		BAUSCH
017352	NDA		GLAXOSMITHKLINE
017354	NDA		TEVA BRANDED PHARM
017355	NDA		TEVA BRANDED PHARM
017362	NDA		ACTAVIS LABS UT INC
017364	NDA		MEDPOINTE PHARM HLC
017371	NDA		APOTHECON
017373	NDA		ALVOGEN
017376	NDA		MONARCH PHARMS
017377	NDA		SUN PHARM INDUSTRIES
017378	NDA		BAXTER HLTHCARE
017381	NDA		KING PHARMS LLC
017385	NDA		BAXTER HLTHCARE
017386	NDA		I3 PHARMS
017390	NDA		BAXTER HLTHCARE
017391	NDA		CASPER PHARMA LLC
017395	NDA		HOSPIRA
017398	NDA		SANDOZ
017406	NDA		GE HEALTHCARE
017407	NDA		BOEHRINGER INGELHEIM
017411	NDA		HUNTINGTON LABS
017412	NDA		HUNTINGTON LABS
017413	NDA		3M
017421	NDA		DIAL
017422	NDA		AVET LIFESCIENCES
017425	NDA		TEVA BRANDED PHARM
017426	NDA		PADAGIS US
017427	NDA		BAXTER HLTHCARE
017428	NDA		BAXTER HLTHCARE
017430	NDA		SANOFI AVENTIS US
017431	NDA		EPIC PHARMA LLC
017433	NDA		DAVIS AND GECK
017434	NDA		PHARMACIA AND UPJOHN
017438	NDA		BAXTER HLTHCARE
017439	NDA		ALLERGAN
017441	NDA		ALLERGAN
017442	NDA		PFIZER
017443	NDA		PH HEALTH
017446	NDA		SANOFI AVENTIS US
017447	NDA		PFIZER
017450	NDA		MEDTECH PRODUCTS
017451	NDA		BAXTER HLTHCARE
017452	NDA		BECTON DICKINSON
017453	NDA		TEVA BRANDED PHARM
017454	NDA		MALLINCKRODT
017456	NDA		GE HEALTHCARE
017463	NDA		MCNEIL CONSUMER
017464	NDA		B BRAUN
017466	NDA		SANOFI AVENTIS US
017468	NDA		HARROW EYE
017469	NDA		SANDOZ
017471	NDA		GE HEALTHCARE
017476	NDA		NOVARTIS
017478	NDA		LANTHEUS MEDCL
017481	NDA		JANSSEN PHARMS
017484	NDA		BAXTER HLTHCARE
017486	NDA		EPIC PHARMA LLC
017488	NDA		ORTHO MCNEIL PHARM
017489	NDA		ORTHO MCNEIL PHARM
017493	NDA		BAXTER HLTHCARE
017494	NDA		INSIGHT PHARMS
017503	NDA		BOEHRINGER INGELHEIM
017506	NDA		GE HEALTHCARE
017508	NDA		ABRAXIS PHARM
017510	NDA		B BRAUN
017512	NDA		VANTIVE US HLTHCARE
017513	NDA		OTSUKA ICU MEDCL
017514	NDA		OTSUKA ICU MEDCL
017516	NDA		PFIZER
017518	NDA		3M
017521	NDA		BAXTER HLTHCARE
017522	NDA		BAUSCH
017525	NDA		TEVA BRANDED PHARM
017530	NDA		PH HEALTH
017531	NDA		KING PHARMS LLC
017533	NDA		CHEPLAPHARM
017534	NDA		ALLERGAN
017535	NDA		SANOFI AVENTIS US
017536	NDA		SCHERING
017538	NDA		CURIUM
017546	NDA		ROCHE
017548	NDA		EPIC PHARMA LLC
017549	NDA		MERIDIAN MEDCL TECHN
017550	NDA		GEN ELECTRIC
017551	NDA		MALLINCKRODT
017553	NDA		ALZA
017555	NDA		ORGANON
017556	NDA		SUN PHARM INDS INC
017557	NDA		SANOFI AVENTIS US
017558	NDA		HIKMA
017560	NDA		SUN PHARM INDUSTRIES
017561	NDA		SCHERING
017562	NDA		GE HEALTHCARE
017563	NDA		PFIZER
017565	NDA		ALLERGAN
017566	NDA		ALLERGAN
017569	NDA		GLENWOOD
017571	NDA		BOEHRINGER INGELHEIM
017573	NDA		SCHERING
017575	NDA		BAYER HLTHCARE
017576	NDA		WARNER CHILCOTT LLC
017577	NDA		JANSSEN PHARMS
017579	NDA		VALEANT INTL
017581	NDA		ATNAHS PHARMA US
017584	NDA		FRESENIUS KABI USA
017585	NDA		OTSUKA ICU MEDCL
017586	NDA		OTSUKA ICU MEDCL
017588	NDA		AZURITY
017594	NDA		WESTWOOD SQUIBB
017598	NDA		MONARCH PHARMS
017601	NDA		SCHERING
017603	NDA		SANOFI AVENTIS US
017604	NDA		PHARMACO
017606	NDA		OTSUKA ICU MEDCL
017607	NDA		OTSUKA ICU MEDCL
017608	NDA		OTSUKA ICU MEDCL
017609	NDA		OTSUKA ICU MEDCL
017610	NDA		OTSUKA ICU MEDCL
017612	NDA		CADENCE HEALTH
017613	NDA		SCHERING PLOUGH
017618	NDA		SANOFI AVENTIS US
017619	NDA		SCHERING PLOUGH
017624	NDA		BAXTER HLTHCARE
017628	NDA		ORTHO MCNEIL JANSSEN
017630	NDA		GE HEALTHCARE
017633	NDA		HOSPIRA
017634	NDA		BAXTER HLTHCARE
017635	NDA		OTSUKA ICU MEDCL
017636	NDA		HOSPIRA
017637	NDA		OTSUKA ICU MEDCL
017638	NDA		ABBOTT
017641	NDA		OTSUKA ICU MEDCL
017643	NDA		FRESENIUS
017646	BLA		SERONO
017648	NDA		BAXTER HLTHCARE
017651	NDA		FRESENIUS KABI USA
017653	NDA		GE HEALTHCARE
017655	NDA		GE HEALTHCARE
017656	NDA		OTSUKA ICU MEDCL
017657	NDA		SANOFI AVENTIS US
017658	NDA		TEVA BRANDED PHARM
017661	NDA		NOVARTIS
017664	NDA		GE HEALTHCARE
017667	NDA		GE HEALTHCARE
017668	NDA		SANOFI AVENTIS US
017669	NDA		SANOFI AVENTIS US
017670	NDA		HOSPIRA
017673	NDA		ICU MEDICAL INC
017680	NDA		BRACCO
017681	NDA		ESJAY PHARMA
017684	NDA		PHARMALUCENCE
017685	NDA		MALLINCKRODT
017687	NDA		GE HEALTHCARE
017688	NDA		SANOFI AVENTIS US
017690	NDA		J AND J CONSUMER INC
017691	NDA		SCHERING
017692	BLA		ORGANON USA LLC
017693	NDA		GE HEALTHCARE
017694	NDA		J AND J CONSUMER INC
017697	NDA		BRACCO
017698	NDA		HOSPIRA
017700	NDA		GE HEALTHCARE
017701	NDA		INTL MEDICATION
017702	NDA		INTL MEDICATION
017703	NDA		ABBOTT
017710	NDA		DISTA
017714	NDA		JUBILANT DRAXIMAGE
017716	NDA		WARNER CHILCOTT LLC
017717	NDA		BAYER HEALTHCARE LLC
017725	NDA		MALLINCKRODT
017735	NDA		JANSSEN PHARMS
017741	NDA		PFIZER
017743	NDA		ALLERGAN
017744	NDA		LEGACY
017751	NDA		ASTRAZENECA
017756	NDA		J AND J CONSUMER INC
017765	NDA		LEGACY
017766	NDA		B BRAUN
017768	NDA		MOLNLYCKE HLTH
017769	NDA		SANOFI AVENTIS US
017771	NDA		SHINE
017776	BLA		JUBILANT DRAXIMAGE
017780	NDA		PHARM SPEC
017781	NDA		SCHERING
017784	NDA		GE HEALTHCARE
017788	NDA		MYLAN INSTITUTIONAL
017789	NDA		ICU MEDICAL INC
017794	NDA		BAUSCH
017799	NDA		OTSUKA ICU MEDCL
017802	NDA		WYETH PHARMS
017806	NDA		LANTHEUS MEDCL
017810	NDA		PFIZER
017818	NDA		WESTWOOD SQUIBB
017820	NDA		LILLY
017821	NDA		JANSSEN RES AND DEV
017823	NDA		SUN PHARM INDS INC
017824	NDA		SUN PHARM INDS INC
017830	NDA		ATON
