decision_id,company_name,drug_brand,decision_date,application_number,crosscheck_status,openfda_sponsor_name,openfda_brand_name,openfda_decision_date,openfda_source_url,detail
D243,"Xcovery Holding Company, LLC",Ensacove,2024-12-18,218171,MATCH,XCOVERY,ENSACOVE,2024-12-18,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218171,"date, brand and sponsor all agree with openFDA"
D040,Ionis Pharmaceuticals,Tryngolza,2024-12-19,218614,MATCH,IONIS PHARMS INC,TRYNGOLZA,2024-12-19,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218614,"date, brand and sponsor all agree with openFDA"
D041,Vertex Pharmaceuticals,Alyftrek,2024-12-20,218730,MATCH,VERTEX PHARMS INC,ALYFTREK,2024-12-20,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218730,"date, brand and sponsor all agree with openFDA"
D042,Novo Nordisk,Alhemo,2024-12-20,761315,MATCH,NOVO NORDISK INC,ALHEMO,2024-12-20,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761315,"date, brand and sponsor all agree with openFDA"
D043,AstraZeneca / Daiichi Sankyo,Datroway,2025-01-17,761394,MATCH,DAIICHI SANKYO INC,DATROWAY,2025-01-17,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761394,"date, brand and sponsor all agree with openFDA"
D044,medac GmbH (private),Grafapex,2025-01-21,214759,MATCH_DATE_ONLY,MEDEXUS,GRAFAPEX,2025-01-21,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=214759,date and brand agree; sponsor wording differs (master 'medac GmbH (private)' vs openFDA 'MEDEXUS') — ownership change or legal-entity name
D045,Vertex Pharmaceuticals,Journavx,2025-01-30,219209,MATCH,VERTEX PHARMS INC,JOURNAVX,2025-01-30,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219209,"date, brand and sponsor all agree with openFDA"
D046,SpringWorks Therapeutics,Gomekli,2025-02-11,219379,MATCH,SPRINGWORKS,GOMEKLI,2025-02-11,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219379,"date, brand and sponsor all agree with openFDA"
D047,"Deciphera Pharmaceuticals (acquired by ONO Pharmaceutical, 2025)",Romvimza,2025-02-14,219304,MATCH,DECIPHERA PHARMS,ROMVIMZA,2025-02-14,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219304,"date, brand and sponsor all agree with openFDA"
D049,GSK plc,Blujepa,2025-03-25,218230,MATCH_DATE_ONLY,GLAXOSMITHKLINE,BLUJEPA,2025-03-25,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218230,date and brand agree; sponsor wording differs (master 'GSK plc' vs openFDA 'GLAXOSMITHKLINE') — ownership change or legal-entity name
